id,year,genres
1,1995,Adventure|Animation|Children|Comedy|Fantasy
2,1995,Adventure|Children|Fantasy
3,1995,Comedy|Romance
4,1995,Comedy|Drama|Romance
5,1995,Comedy
6,1995,Action|Crime|Thriller
7,1995,Comedy|Romance
8,1995,Adventure|Children
9,1995,Action
10,1995,Action|Adventure|Thriller
11,iden, The (1995)"12,1995,Comedy|Horror
13,1995,Adventure|Animation|Children
14,1995,Drama
15,1995,Action|Adventure|Romance
16,1995,Crime|Drama
17,1995,Drama|Romance
18,1995,Comedy
19,1995,Comedy
20,1995,Action|Comedy|Crime|Drama|Thriller
21,1995,Comedy|Crime|Thriller
22,1995,Crime|Drama|Horror|Mystery|Thriller
23,1995,Action|Crime|Thriller
24,1995,Drama|Sci-Fi
25,1995,Drama|Romance
26,1995,Drama
27,1995,Children|Drama
28,1995,Drama|Romance
29,ldre, The (Cité des enfants perdus30,1995,Crime|Drama
31,1995,Drama
32,1995,Mystery|Sci-Fi|Thriller
33,1995,Adventure|Romance|IMAX
34,1995,Children|Drama
35,1995,Drama|Romance
36,1995,Crime|Drama
37,1995,Documentary|IMAX
38,1995,Children|Comedy
39,1995,Comedy|Romance
40,"Cr, the Beloved Country (1995)"41,1995,Drama|War
42,1995,Action|Crime|Drama
43,1995,Drama
44,1995,Action|Adventure|Fantasy
45,1995,Comedy|Drama|Thriller
46,1995,Drama|Romance
47,1995,Mystery|Thriller
48,1995,Animation|Children|Drama|Musical|Romance
49,1995,Drama|Romance
50,pect, The (1995)"51,1994,Action|Drama|Thriller
52,1995,Comedy|Drama|Romance
53,1994,Adventure|Drama
54,Gree, The (1995)"55,1995,Drama
56,1995,Adventure|Children|Fantasy
57,1995,Drama
58,stma, The (Postino59,iona, The (Confessionnal60,boar, The (1995)"61,1996,Drama|Thriller
62,1995,Drama
63,1996,Comedy|Crime
64,1996,Comedy|Romance
65,1996,Comedy
66,1996,Action|Sci-Fi|Thriller
67,1995,Drama
68,1995,Comedy|Romance
69,1995,Comedy
70,1996,Action|Comedy|Horror|Thriller
71,1995,Action
72,1995,Comedy|Drama
73,able, Les (1995)"74,1996,Drama|Romance
75,1996,Comedy|Drama
76,1995,Action|Sci-Fi|Thriller
77,1995,Documentary
78,Guar, The (1995)"79,Juro, The (1996)"80,lloo, The (Badkonake sefid) (1995)"81,1995,Crime|Drama|Romance
82,1995,Comedy|Drama
83,1995,Drama|Romance
84,1995,Comedy|Drama
85,1995,Drama|Romance
86,1996,Action|Adventure|Drama
87,1996,Children|Comedy
88,1996,Comedy
89,1995,Action|Thriller
90, Kin, The (1995)"92,1996,Drama|Horror|Thriller
93,1995,Comedy|Horror|Romance
94,1996,Comedy|Drama|Romance
95,1996,Action|Adventure|Thriller
96,1995,Comedy|Drama
97,Hain, La) (1995)"98,1994,Action|Thriller
99,1995,Documentary
100,1996,Drama|Thriller
101,1996,Adventure|Comedy|Crime|Romance
102,1996,Comedy
103,1996,Mystery|Sci-Fi|Thriller
104,1996,Comedy
105,ount, The (1995)"106,1994,Comedy|Drama
107,1996,Adventure|Children|Comedy|Musical
108,1996,Documentary
109,1995,Comedy|Drama|Thriller
110,1995,Action|Drama|War
111,1976,Crime|Drama|Thriller
112,1995,Action|Adventure|Comedy|Crime
113,1996,Drama|Mystery
114,1995,Drama
115,e pr, Le) (1995)"116,1995,Documentary
117,dboo, The (1995)"118,1996,Comedy|Romance
119,l Bi, Steal Little (1995)"120,1996,Adventure|Comedy|Drama
121,ncen, The (1992)"122,1992,Comedy|Romance
123,1994,Drama|Mystery|Romance
124,Make, The (Uomo delle stelle125,1996,Comedy
126,y II, The (1994)"127,alac, The (Saimt el Qusur) (1994)"128,1994,Documentary
129,1996,Comedy|Romance
130,1995,Drama
131,1995,Drama|Romance
132,1995,Thriller
133,1995,Comedy|Drama
134,1995,Documentary
135,1996,Comedy
136,1995,Documentary
137,1995,Documentary
138,Bibl, The (1995)"139,1995,Action|Drama
140,1996,Drama|Romance
141,dcag, The (1996)"142,1988,Drama
143,1995,Drama
144,ulle, The (1995)"145,1995,Action|Comedy|Crime|Drama|Thriller
146,ntur, The (1995)"147,arie, The (1995)"148,ntur, An (1995)"149,1994,Crime|Drama|Thriller
150,1995,Adventure|Drama|IMAX
151,1995,Action|Drama|Romance|War
152,ctio, The (1995)"153,1995,Action|Adventure|Comedy|Crime
154,1967,Drama
155,1995,Adventure|Drama|War
156,1995,Comedy|Drama
157,1995,Comedy|War
158,1995,Adventure|Children
159,1995,Crime|Drama|Mystery
160,1995,Action|Adventure|Mystery|Sci-Fi
161,1995,Drama|Thriller|War
162,1994,Documentary
163,1995,Action|Romance|Western
164,1995,Crime|Film-Noir|Mystery|Thriller
165,1995,Action|Crime|Thriller
166,atio, The (1995)"167,1995,Drama
168,1995,Action|Drama|Romance
169,1995,Adventure|Children|Drama
170,1995,Action|Adventure|Crime|Thriller
171,1995,Comedy|Drama
172,1995,Action|Sci-Fi|Thriller
173,1995,Action|Crime|Sci-Fi
174,1995,Comedy
175,1995,Drama
176,1995,Comedy
177,1995,Horror
178,1993,Comedy|Drama
179,1995,Drama|Romance
180,1995,Comedy|Romance
181,1995,Action|Children
182,1995,Drama|Romance
183,1994,Comedy|Horror|Thriller
184,1994,Drama
185,"Ne, The (1995)"186,1995,Comedy|Romance
187,1995,Comedy
188,phec, The (1995)"189,1995,Comedy|Fantasy
190,1995,Thriller
191,ette, The (1995)"192,"Sho, The (1995)"193,1995,Drama
194,1995,Comedy|Drama
195,1995,Comedy|Drama|Romance
196,1995,Horror|Sci-Fi
197,iett, The (1995)"198,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,bour, The (Parapluies de Cherbourg200,Bind, The (1995)"201,1995,Drama|Fantasy
202,1995,Drama|Romance
203,g Fo, Thanks for Everything! Julie Newmar (1995)"204,1995,Action
205,1995,Comedy|Drama
206,1995,Documentary
207,loud, A (1995)"208,1995,Action|Adventure|Sci-Fi
209,1995,Drama
210,1995,Western
211,rsio, The (1994)"212,1995,Adventure|Comedy|Crime|Mystery
213,1994,Drama
214,1994,Drama|War
215,1995,Drama|Romance
216,1995,Comedy
217,itte, The (1995)"218,1995,Comedy|Drama
219,"Cur, The (1995)"220,1995,Horror
222,1995,Drama|Romance
223,1994,Comedy
224,1995,Comedy|Drama|Romance
225,1994,Drama|Thriller
226,1995,Thriller
227,1994,Action|Thriller
228,1995,Comedy
229,1994,Drama|Thriller
230,1995,Drama|Thriller
231,1994,Adventure|Comedy
232,1994,Comedy|Drama|Romance
233,1994,Drama
234,1994,Comedy
235,1994,Comedy|Drama
236,1995,Action|Comedy|Romance
237,1995,Comedy|Romance
238,1995,Adventure|Children
239,Movi, A (1995)"240,1995,Thriller
241,1995,Children|Drama
242,1994,Drama|Musical
243,1995,Children|Comedy|Fantasy
244,1995,Animation|Children
245,hiel, The (1994)"246,1994,Documentary
247,1994,Crime|Drama
248,1994,Comedy
249,1994,Drama|Romance
250,1995,Children|Comedy
251,unte, The (1995)"252,1994,Comedy|Romance
253,1994,Drama|Horror
254,1995,Drama
255, Boy, The (1995)"256,1994,Comedy|Sci-Fi
257,1995,Mystery|Thriller
258,Cour, A (1995)"259,1995,Crime|Drama|Thriller
260,1977,Action|Adventure|Sci-Fi
261,1994,Drama
262,nces, A (1995)"263,1994,Drama
264,Enfe, L' (1994)"265,1992,Drama|Fantasy|Romance
266,1994,Drama|Romance|War|Western
267,1995,Comedy
268,1994,Crime|Drama
269,1993,Drama
270,1994,Drama|Romance
271,1995,Drama
272,eorg, The (1994)"273,1994,Drama|Horror|Sci-Fi
274,1995,Comedy
275,1994,Comedy
276,1994,Comedy|Romance
277,1994,Drama
278,1995,Comedy
279,1995,Drama
280,1995,Drama|Thriller
281,1994,Comedy|Drama|Romance
282,1994,Drama
283,1995,Crime|Drama
284,1993,Action|Crime
285,1993,Drama|Horror
286,1995,Action|Sci-Fi|Thriller
287,1994,Comedy|Romance
288,1994,Action|Crime|Thriller
289,1994,Comedy|Romance
290,1994,Crime|Drama
291,1996,Drama|Thriller
292,1995,Action|Drama|Sci-Fi|Thriller
293,1994,Action|Crime|Drama|Thriller
294,amil, The (1995)"295,Stor, A (1995)"296,1994,Comedy|Crime|Drama|Thriller
297,1995,Drama
298,1992,Drama
299,1994,Drama
300,1994,Drama
301,1994,Drama|Romance
302,argo, La) (1994)"303, Dea, The (1995)"304,1995,Comedy|Drama
305,1994,Comedy
306,1994,Drama
307,1993,Drama
308,1994,Comedy|Drama
309,acke, Green Firecracker (Pao Da Shuang Deng) (1994)"310,1995,Comedy
311,1994,Horror|Thriller
312,1995,Comedy
313,nces, The (1994)"314,Inis, The (1994)"315,alis, The (1994)"316,1994,Action|Adventure|Sci-Fi
317,laus, The (1994)"318,ptio, The (1994)"319,1994,Comedy|Drama|Thriller
320,1993,Film-Noir|Thriller
321,1993,Drama
322,1995,Comedy|Drama
324,of U, The (1994)"325,1995,Comedy
326,1994,Drama
327,1995,Action|Comedy|Sci-Fi
328,1995,Horror|Thriller
329,1994,Adventure|Drama|Sci-Fi
330,1995,Action|Crime|Horror
331,1994,Drama
332,1995,Horror|Sci-Fi
333,1995,Comedy
334,1994,Drama
335,1995,Mystery|Thriller
336, Dea, The (1995)"337,1993,Drama
338,1995,Action|Sci-Fi|Thriller
339,1995,Comedy|Romance
340,"Wa, The (1994)"341,1994,Drama
342,1994,Comedy
343, Clu, The (1995)"344,1994,Comedy
345,cill, Queen of the Desert346,1993,Drama|Musical
347,1992,Drama|Film-Noir|Romance
348,1994,Comedy
349,1994,Action|Crime|Drama|Thriller
350,lien, The (1994)"351,rrin, Corrina (1994)"352,1994,Comedy|Drama
353,"Cro, The (1994)"354,1994,Drama
355,tone, The (1994)"356,1994,Comedy|Drama|Romance|War
357,1994,Comedy|Romance
358,1995,Drama
359,1994,Comedy|Drama|Romance
360,1994,Action|Comedy
361,1994,Comedy|Drama|Romance
362, Boo, The (1994)"363,erfu, Horrible Life of Leni Riefenstahl364, Kin, The (1994)"365,1993,Drama
366,inal, A) (1994)"367,"Mas, The (1994)"368,1994,Adventure|Comedy|Western
369,1994,Drama
370,1994,Action|Comedy
371,Pape, The (1994)"372,1994,Comedy|Drama|Romance
373,1992,Thriller
374,1994,Children|Comedy
375,1994,Drama
376, Wil, The (1994)"377,1994,Action|Romance|Thriller
378,1994,Comedy|Romance
379,1994,Action|Sci-Fi|Thriller
380,1994,Action|Adventure|Comedy|Romance|Thriller
381,1994,Drama|Romance
382,1994,Drama|Horror|Romance|Thriller
383,1994,Western
384,1995,Action|Crime|Drama
385,tanc, A (1994)"386,1994,Drama
387,Sham, A (1994)"388,1995,Drama
389,aber, Le (1994)"390,1965,Action|Crime|Drama
391,1994,Crime|Drama
392,Thum, The (1993)"393,1994,Action|Adventure|Fantasy
394,1995,Comedy
395,1995,Drama|Fantasy|Romance
396,1995,Drama
397,"Fea, The (1995)"398,1995,Documentary
399,1995,Drama
400,1995,Drama
401,1995,Action|Thriller
402,1996,Comedy
403,1995,Comedy|Crime|Drama
404,1994,Documentary
405,1994,Action|Fantasy
406,1994,Drama
407,1995,Horror|Thriller
408,1994,Drama
409,1994,Crime|Drama
410,1993,Children|Comedy|Fantasy
411,1994,Comedy|Documentary
412,cenc, The (1993)"413,1994,Comedy
414,Ther, The (1994)"415,1993,Comedy|Thriller
416,1994,Western
417,1994,Comedy|Romance
418,1993,Drama
419,llie, The (1993)"420,1994,Action|Comedy|Crime|Thriller
421,1994,Adventure|Children|Drama
422,1994,Thriller
423,1994,Action|Thriller
424,1994,Drama
425,1994,Drama|Romance
426,1993,Horror|Sci-Fi|Thriller
427,1993,Drama|Mystery|Romance|Thriller
428, Tal, A (1993)"429,1994,Comedy
430,1993,Comedy|Drama
431,1993,Crime|Drama
432,1994,Adventure|Comedy|Western
433,1994,Comedy
434,1993,Action|Adventure|Thriller
435,1993,Comedy|Sci-Fi
436,1994,Drama|Thriller
437,1994,Comedy
438,y Wa, The (1994)"439,1993,Drama
440,1993,Comedy|Romance
441,1993,Comedy
442,1993,Action|Adventure|Sci-Fi
443,mer , The (1994)"444,1993,Comedy|Romance
445,1993,Comedy
446,1993,Drama|Romance
447,Favo, The (1994)"448,1993,Drama
449,1994,Comedy
450,1994,Comedy|Drama
451,1993,Drama|Mystery|Romance
452,1994,Drama
453,1993,Comedy|Romance
