id,year,genres
1,1995,Animation|Children's|Comedy
2,1995,Adventure|Children's|Fantasy
3,1995,Comedy|Romance
4,1995,Comedy|Drama
5,1995,Comedy
6,1995,Action|Crime|Thriller
7,1995,Comedy|Romance
8,1995,Adventure|Children's
9,1995,Action
10,1995,Action|Adventure|Thriller
11,1995,Comedy|Drama|Romance
12,1995,Comedy|Horror
13,1995,Animation|Children's
14,1995,Drama
15,1995,Action|Adventure|Romance
16,1995,Drama|Thriller
17,1995,Drama|Romance
18,1995,Thriller
19,1995,Comedy
20,1995,Action
21,1995,Action|Comedy|Drama
22,1995,Crime|Drama|Thriller
23,1995,Thriller
24,1995,Drama|Sci-Fi
25,1995,Drama|Romance
26,1995,Drama
27,1995,Drama
28,1995,Romance
29,1995,Adventure|Sci-Fi
30,1995,Drama
31,1995,Drama
32,1995,Drama|Sci-Fi
33,1995,Adventure|Romance
34,1995,Children's|Comedy|Drama
35,1995,Drama|Romance
36,1995,Drama
37,1995,Documentary
38,1995,Comedy
39,1995,Comedy|Romance
40,1995,Drama
41,1995,Drama|War
42,1995,Action|Crime|Drama
43,1995,Drama
44,1995,Action|Adventure
45,1995,Comedy|Drama
46,1995,Drama|Romance
47,1995,Crime|Thriller
48,1995,Animation|Children's|Musical|Romance
49,1995,Drama|Romance
50,1995,Crime|Thriller
51,1994,Action|Drama|Thriller
52,1995,Comedy
53,1994,Drama
54,1995,Children's|Comedy
55,1995,Drama
56,1995,Adventure|Children's|Fantasy
57,1995,Drama
58,1994,Drama|Romance
59,1995,Drama|Mystery
60,1995,Adventure|Children's|Fantasy
61,1996,Drama|Thriller
62,1995,Drama
63,1996,Comedy
64,1996,Comedy|Romance
65,1996,Comedy
66,1996,Sci-Fi|Thriller
67,1995,Drama
68,1995,Comedy|Romance
69,1995,Comedy
70,1996,Action|Comedy|Crime|Horror|Thriller
71,1995,Action
72,1995,Comedy|Drama
73,1995,Drama|Musical
74,1996,Drama|Romance
75,1996,Comedy|Drama
76,1995,Sci-Fi|Thriller
77,1995,Documentary
78,1995,Drama
79,1996,Drama|Thriller
80,1995,Drama
81,1995,Crime|Drama|Romance
82,1995,Drama
83,1995,Drama
84,1995,Comedy|Drama
85,1995,Drama|Romance
86,1996,Adventure|Drama
87,1996,Children's|Comedy
88,1996,Comedy
89,1995,Action|Thriller
90,1995,Drama
92,1996,Drama|Thriller
93,1995,Comedy|Romance
94,1996,Drama
95,1996,Action|Thriller
96,1995,Comedy
97,1995,Drama
98,1994,Action|Thriller
99,1995,Documentary
100,1996,Drama|Thriller
101,1996,Comedy
102,1996,Comedy
103,1996,Thriller
104,1996,Comedy
105,1995,Drama|Romance
106,1994,Comedy|Drama
107,1996,Adventure|Children's|Comedy|Musical
108,1995,Documentary
109,1995,Comedy
110,1995,Action|Drama|War
111,1976,Drama|Thriller
112,1995,Action|Adventure|Crime
113,1996,Drama|Mystery
114,1995,Drama
115,1995,Comedy
116,1995,Documentary
117,1995,Crime
118,1996,Comedy|Romance
119,1995,Comedy
120,1996,Drama
121,1993,Drama
122,1992,Comedy|Romance
123,1994,Drama|Mystery|Romance
124,1995,Drama
125,1996,Comedy
126,1994,Adventure|Children's|Fantasy
127,1994,Drama
128,1994,Documentary
129,1995,Comedy|Romance
130,1995,Drama
131,1995,Drama|Romance
132,1995,Thriller
133,1995,Comedy|Drama
134,1995,Documentary
135,1996,Comedy
136,1995,Documentary
137,1995,Documentary
138,1995,Drama
139,1995,Action|Drama
140,1996,Drama|Romance
141,1996,Comedy
142,1988,Drama
143,1995,Drama
144,1995,Comedy
145,1995,Action
146,1995,Adventure|Children's
147,1995,Drama
148,1995,Drama
149,1994,Crime|Drama|Thriller
150,1995,Drama
151,1995,Drama|Romance|War
152,1995,Horror
153,1995,Action|Adventure|Comedy|Crime
154,1967,Drama
155,1995,Drama|War
156,1995,Comedy
157,1994,Comedy|War
158,1995,Adventure|Children's
159,1995,Drama
160,1995,Action|Adventure|Mystery|Sci-Fi
161,1995,Drama|Thriller|War
162,1994,Documentary
163,1995,Action|Romance|Thriller
164,1995,Crime|Film-Noir|Mystery|Thriller
165,1995,Action|Thriller
166,1995,Comedy|Drama
167,1995,Drama
168,1995,Action|Adventure|Drama|Romance
169,1995,Adventure|Children's|Drama
170,1995,Action|Crime|Thriller
171,1995,Comedy
172,1995,Action|Sci-Fi|Thriller
173,1995,Action|Adventure|Sci-Fi
174,1995,Comedy
175,1995,Drama
176,1995,Comedy
177,1995,Horror
178,1993,Comedy
179,1995,Drama|Romance
180,1995,Comedy
181,1995,Action|Children's
182,1995,Drama|Romance
183,1994,Thriller
184,1994,Drama
185,1995,Sci-Fi|Thriller
186,1995,Comedy
187,1995,Comedy
188,1995,Horror
189,1995,Comedy
190,1995,Thriller
191,1995,Drama
192,1995,Documentary
193,1995,Drama
194,1995,Drama
195,1995,Comedy|Drama|Romance
196,1995,Horror|Sci-Fi
197,1995,Drama
198,1995,Action|Crime|Sci-Fi
199,1964,Drama|Musical
200,1995,Thriller
201,1995,Drama
202,1995,Drama|Romance
203,1995,Comedy
204,1995,Action
205,1995,Comedy|Drama
206,1995,Documentary
207,1995,Drama|Romance
208,1995,Action|Adventure
209,1995,Drama
210,1995,Western
211,1994,Drama
212,1995,Comedy
213,1994,Drama
214,1994,Drama
215,1995,Drama|Romance
216,1995,Comedy
217,1995,Drama|Thriller
218,1995,Comedy|Drama
219,1995,Drama
220,1995,Horror
222,1995,Drama|Romance
223,1994,Comedy
224,1995,Comedy|Drama|Romance
225,1994,Drama|Thriller
226,1995,Thriller
227,1994,Action
228,1995,Comedy
229,1994,Drama|Thriller
230,1994,Drama|Thriller
231,1994,Comedy
232,1994,Comedy|Drama
233,1994,Drama
234,1994,Comedy
235,1994,Comedy|Drama
236,1995,Comedy|Romance
237,1995,Comedy|Romance
238,1995,Adventure|Children's
239,1995,Animation|Children's|Comedy|Romance
240,1995,Thriller
241,1995,Children's|Drama
242,1994,Drama|Musical
243,1995,Comedy
244,1995,Animation|Children's
245,1994,Crime|Drama
246,1994,Documentary
247,1994,Drama|Fantasy|Romance|Thriller
248,1994,Comedy
249,1994,Drama|Romance
250,1994,Children's|Comedy
251,1995,Action
252,1994,Comedy|Romance
253,1994,Drama|Horror
254,1995,Drama
255,1994,Comedy
256,1994,Comedy|Sci-Fi
257,1995,Mystery|Thriller
258,1995,Adventure|Children's|Comedy|Fantasy|Romance
259,1995,Crime|Drama|Thriller
260,1977,Action|Adventure|Fantasy|Sci-Fi
261,1994,Drama
262,1995,Children's|Drama
263,1994,Drama
264,1994,Drama
265,1992,Drama|Romance
266,1994,Drama|Romance|War|Western
267,1994,Comedy
268,1994,Drama
269,1993,Drama
270,1994,Drama|Romance
271,1995,Drama
272,1994,Drama
273,1994,Drama|Horror
274,1995,Comedy
275,1994,Comedy
276,1994,Comedy|Romance
277,1994,Drama
278,1995,Comedy
279,1995,Drama
280,1995,Drama|Thriller
281,1994,Drama
282,1994,Drama
283,1995,Crime|Drama
284,1996,Action|Crime
285,1993,Drama|Horror
286,1995,Action|Sci-Fi|Thriller
287,1994,Comedy|Romance
288,1994,Action|Thriller
289,1994,Comedy|Romance
290,1994,Crime|Drama
291,1995,Thriller
292,1995,Action|Drama|Thriller
293,1994,Crime|Drama|Romance|Thriller
294,1995,Comedy|Romance
295,1995,Comedy|Romance
296,1994,Crime|Drama
297,1995,Drama
298,1992,Comedy
299,1994,Drama
300,1994,Drama
301,1995,Drama|Romance
302,1994,Drama|Romance
303,1995,Action|Adventure|Western
304,1995,Comedy|Drama
305,1994,Comedy
306,1994,Drama
307,1993,Drama
308,1994,Drama
309,1994,Drama
310,1995,Comedy
311,1994,Horror|Thriller
312,1995,Comedy
313,1994,Animation|Children's
314,1994,Drama
315,1994,Action
316,1994,Action|Adventure|Sci-Fi
317,1994,Children's|Comedy|Fantasy
318,1994,Drama
319,1994,Thriller
320,1993,Film-Noir|Thriller
321,1993,Drama
322,1995,Comedy|Drama
324,1994,Comedy
325,1995,Comedy
326,1994,Drama
327,1995,Action|Comedy|Musical|Sci-Fi
328,1995,Horror
329,1994,Action|Adventure|Sci-Fi
330,1995,Comedy|Horror
331,1994,Drama
332,1995,Horror|Sci-Fi
333,1995,Comedy
334,1994,Drama
335,1995,Mystery|Thriller
336,1995,Drama|War
337,1993,Drama
338,1995,Sci-Fi|Thriller
339,1995,Comedy|Romance
340,1994,Adventure|Drama
341,1994,Drama
342,1994,Comedy|Romance
343,1995,Children's
344,1994,Comedy
345,1994,Comedy|Drama
346,1993,Drama|Musical
347,1992,Drama
348,1994,Comedy
349,1994,Action|Adventure|Thriller
350,1994,Drama|Mystery|Thriller
351,1994,Comedy|Drama|Romance
352,1994,Comedy
353,1994,Action|Romance|Thriller
354,1994,Drama
355,1994,Children's|Comedy
356,1994,Comedy|Romance|War
357,1994,Comedy|Romance
358,1995,Drama
359,1994,Comedy|Drama|Romance
360,1994,Action|Comedy
361,1994,Drama|Romance
362,1994,Adventure|Children's|Romance
363,1993,Documentary
364,1994,Animation|Children's|Musical
365,1993,Drama
366,1994,Horror
367,1994,Comedy|Crime|Fantasy
368,1994,Action|Comedy|Western
369,1994,Drama
370,1994,Comedy
371,1994,Comedy|Drama
372,1994,Comedy|Drama
373,1992,Thriller
374,1994,Children's|Comedy
375,1994,Drama
376,1994,Action|Thriller
377,1994,Action|Romance|Thriller
378,1994,Comedy|Romance
379,1994,Action|Sci-Fi
380,1994,Action|Adventure|Comedy|Romance
381,1994,Drama
382,1994,Drama|Horror
383,1994,Western
384,1995,Action
385,1994,Drama
386,1994,Drama
387,1994,Action|Comedy
388,1995,Drama
389,1994,Drama|Romance|War
390,1965,Action|Comedy|Drama
391,1994,Crime|Drama
392,1993,Adventure|Children's
393,1994,Action
394,1995,Action
395,1995,Drama
396,1995,Drama
397,1995,Horror
398,1995,Documentary
399,1995,Drama
400,1995,Drama
401,1995,Action|Thriller
402,1996,Comedy
403,1995,Comedy|Crime|Drama
404,1994,Documentary
405,1994,Action|Sci-Fi
406,1994,Drama
407,1995,Horror|Thriller
408,1994,Drama
409,1994,Drama
410,1993,Comedy
411,1994,Comedy
412,1993,Drama
413,1994,Comedy
414,1994,Comedy
415,1993,Comedy|Thriller
416,1994,Western
417,1994,Comedy|Romance
418,1993,Drama
419,1993,Comedy
420,1994,Action|Comedy
421,1994,Adventure|Children's
422,1994,Thriller
423,1994,Action|Thriller
424,1994,Drama
425,1994,Drama|Romance
426,1993,Horror|Sci-Fi|Thriller
427,1993,Mystery|Romance|Thriller
428,1993,Drama
429,1994,Comedy
430,1993,Drama
431,1993,Crime|Drama
432,1994,Comedy|Western
433,1994,Comedy
434,1993,Action|Adventure|Crime
435,1993,Comedy|Sci-Fi
436,1994,Drama|Thriller
437,1994,Comedy
438,1994,Action|Comedy
439,1993,Drama
440,1993,Comedy|Romance
441,1993,Comedy
442,1993,Action|Sci-Fi
443,1994,Documentary
444,1993,Comedy|Romance
445,1993,Comedy
446,1993,Drama|Romance
447,1994,Comedy|Romance
448,1993,Drama
449,1993,Comedy
450,1994,Comedy|Drama
451,1993,Drama|Mystery|Romance
452,1994,Drama
453,1993,Comedy
454,1993,Drama|Thriller
455,1993,Adventure|Children's|Drama
456,1994,Drama
457,1993,Action|Thriller
458,1993,Drama|Western
459,1994,Action
460,1994,Comedy
461,1994,Drama|Romance
462,1994,Action|Adventure
463,1993,Crime|Drama|Thriller
464,1993,Action|Adventure|Crime|Thriller
465,1993,Action|Drama|War
466,1993,Action|Comedy|War
467,1995,Comedy
468,1995,Comedy|Romance
469,1993,Drama|Romance
470,1994,Comedy
471,1994,Comedy|Romance
472,1994,Comedy|Drama
473,1994,Comedy|War
474,1993,Action|Thriller
475,1993,Drama
476,1994,Comedy|Drama
477,1993,Drama
478,1994,Comedy
479,1993,Action
480,1993,Action|Adventure|Sci-Fi
481,1993,Drama|Thriller
482,1994,Thriller
483,1993,Drama
484,1994,Adventure|Children's
485,1993,Action|Comedy
486,1993,Comedy
487,1994,Comedy|Western
488,1993,Drama
489,1993,Comedy
490,1993,Thriller
491,1993,Drama
492,1993,Comedy|Mystery
493,1993,Action|Crime|Drama
494,1996,Action|Thriller
495,1976,Drama
